"PROVINCIA_ESTABLECIMIENTO","CANTO_ESTABLECIMIENTO","PARROQUIA_UBICACION","CLASE_ESTABLECIMIENTO","TIPO_ESTABLECIMIENTO","ENTIDAD","SECTOR","MEDICINA","CIRUGIA","GINECOLOGIA_OBSTETRICIA","PEDIATRIA","CARDIOLOGIA","NEUMOLOGIA","PSIQUIATRIA","TRAUMATOLOGIA","INFECTOLOGIA","OFTALMOLOGIA_OTORRINO","UROLOGIA","GASTROENTEROLOGIA","OTROS_SERVICIOS","SERVICIOS_INDIFERENCIADOS","CAMAS_EMERGENCIA","CAMAS_CUIDADOS_INTENSIVOS","CAMAS_DISPONIBLES_MEDICINA","CAMAS_DISPONIBLES_CIRUGIA","CAMAS_DISPONIBLES_GINECOLOGIA","CAMAS_DISPONIBLE_PEDIATRIA","CAMAS_DISPONIBLES_CARDIOLOGIA","CAMAS_DISPONIBLES_NEUMOLOGIA","CAMAS_DISPONIBLE_PSIQUIATRIA","CAMAS_DISPONIBLE_TRAUMOLOGIA","CAMAS_DISPONIBLES_INFECTOLOGIA","CAMAS_DISPONIBLES_OFTALMOLOGIA","CAMAS_DISPONIBLES_UROLOGIA","CAMAS_DISPONIBLES_GASTROENTEROLOGIA","CAMAS_DISPONIBLES_OTROS_SERVICIOS","CAMAS_DISPONIBLES_SERVICIOS_INDIFERENCIADOS","CAMAS_DISPONIBLES_EMERGENCIA","CAMAS_DISPONIBLES_CUIDADOS_INTENSIVOS","TOTAL_CAMAS_DONACION_NORMAL","TOTAL_CAMAS_DISPONIBLES","NUMERO_FALLECIDOS_MENOR_48H","NUMERO_FALLECIDOS_EN_48H_Y_MAS","DIAS_DE_ESTADA","DIAS_CAMAS_DISPONIBLES","NUMERO_DE_EGRESOS"
"Pichincha","Quito","170111","4","1","1","1","0","0","170","0","0","0","0","0","0","0","0","0","40","0","0","0","0","0","42","0","0","0","0","0","0","0","0","0","41","0"," "," ","210","83","12","31","20077","30295","5749"
"Manabi","Portoviejo","130150","1","5","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"," "," ","7","7","1","0","322","644","298"
"Los Rios","Quevedo","120501","12","3","18","2","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0"," "," ","4","4","0","0","24","612","22"
"Guayas","Guayaquil","90112","2","1","13","3","0","0","247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","247","0","0","0","0","0","0","0","0","0","0","0"," "," ","247","247","40","174","89414","28774","24635"
"Santo Domingo","Santo Domingo","230150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"," "," ","10","10","0","0","41","3660","39"
"Manabi","Sucre","131402","12","3","18","2","0","0","6","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","8"," "," ","14","14","0","0","130","3836","32"
"Guayas","Guayaquil","90150","12","3","18","2","5","1","2","2","2","0","0","7","0","0","0","0","0","9","0","0","5","1","2","2","2","0","0","7","0","0","0","0","0","9"," "," ","28","28","0","0","135","3294","84"
"Guayas","Guayaquil","90150","12","3","18","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8"," "," ","8","8","5","0","431","2920","262"
"Guayas","Guayaquil","90150","12","3","18","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"," "," ","3","3","0","0","13","363","13"
"Santo Domingo","Santo Domingo","230150","12","3","18","2","0","5","8","4","0","0","0","0","8","0","0","0","0","105","8","12","0","5","8","4","0","0","0","0","8","0","0","0","0","105"," "," ","130","130","1","0","1802","47580","711"
